Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-July-2020,645.20,645.20,636.50,638.80,639.451327466160825227,272022,7714,173944829.00,88971,32.71,8.70,-6.40
8-July-2020,644.00,648.00,632.60,634.45,640.120418692625345361,201962,4694,129280000.00,50418,24.96,15.40,-9.55
7-July-2020,637.00,642.50,635.40,636.40,638.965392354124748490,111825,2379,71452305.00,26624,23.81,7.10,-0.60
6-July-2020,639.10,644.00,629.80,634.60,635.951205565966739954,271076,9278,172391109.00,87922,32.43,14.20,-4.50
3-July-2020,652.65,652.65,635.65,638.85,641.286729160805176867,156388,3856,100289549.00,42307,27.05,17.00,-13.80
2-July-2020,631.90,654.45,625.70,645.80,637.837280255220648464,301543,10686,192335367.00,127763,42.37,28.75,13.90
1-July-2020,643.75,643.75,621.50,627.10,628.259000162408945725,166247,4100,104446174.00,35115,21.12,22.25,-16.65
30-June-2020,645.00,649.35,638.00,640.05,643.007404427273614739,338041,7020,217362866.00,75284,22.27,11.35,-4.95
29-June-2020,638.40,648.00,636.30,645.05,643.716644007690852373,227283,4934,146305850.00,40051,17.62,11.70,6.65
26-June-2020,640.00,643.35,631.60,634.70,636.666888527588659689,196820,5687,125308777.00,52659,26.75,11.75,-5.30
25-June-2020,632.00,642.00,628.50,635.10,634.365801849819720959,255160,7050,161864778.00,61923,24.27,13.50,3.10
24-June-2020,661.00,661.00,628.10,631.65,644.319690099396414522,233107,5971,150195430.00,86891,37.28,32.90,-29.35
23-June-2020,675.80,675.80,655.60,659.70,662.275666551383869504,315167,7486,208727435.00,81446,25.84,20.20,-16.10
22-June-2020,696.00,696.00,652.00,655.80,667.866478498859346847,1313721,30686,877390218.00,322238,24.53,44.00,-40.20
19-June-2020,652.50,652.50,632.00,637.10,639.592684995406035762,282980,5892,180991938.00,149780,52.93,20.50,-15.40
18-June-2020,638.00,644.40,636.75,641.55,639.459606176116990066,243713,5803,155844619.00,172501,70.78,7.65,3.55
17-June-2020,635.15,643.80,635.15,640.50,639.237832313110328508,90013,2379,57539715.00,22285,24.76,8.65,5.35
16-June-2020,646.55,649.50,632.80,637.85,641.681335621418806899,68762,1767,44123292.00,14735,21.43,16.70,-8.70
15-June-2020,643.00,653.15,637.35,643.35,644.427415604947456523,204307,5953,131661032.00,79508,38.92,15.80,0.35
12-June-2020,625.00,645.00,618.85,643.65,633.815069704904111527,169572,3861,107477289.00,21350,12.59,26.15,18.65
11-June-2020,644.90,646.90,633.20,634.95,639.695015154734876021,89411,2120,57195771.00,16129,18.04,13.70,-9.95
10-June-2020,646.60,650.50,639.80,642.50,645.624542027009755889,187784,4031,121237959.00,66559,35.44,10.70,-4.10
9-June-2020,638.60,654.00,637.10,639.90,646.810079554320798605,274278,5813,177405775.00,45486,16.58,16.90,1.30
