Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-December-2020,600.00,623.90,596.05,621.50,608.946286483303894356,416115,13849,253391684.00,239591,57.58,27.85,21.50
22-December-2020,594.55,610.55,584.55,601.25,597.769144724135711066,869848,10846,519968295.00,225430,25.92,26.00,6.70
21-December-2020,625.00,627.60,585.55,595.15,607.584827729374549845,790007,15796,479996267.00,170283,21.55,42.05,-29.85
18-December-2020,638.90,640.90,628.00,631.40,634.556039598887633317,702646,10033,445868263.00,208062,29.61,12.90,-7.50
17-December-2020,645.00,645.70,631.75,635.40,640.998345956123675911,498173,4955,319328069.00,258274,51.84,13.95,-9.60
16-December-2020,640.25,649.40,638.25,643.35,643.913446167170533694,494178,7488,318207859.00,99630,20.16,11.15,3.10
15-December-2020,625.30,636.40,617.80,635.20,625.104882752467055135,771061,7238,481993996.00,349563,45.34,18.60,9.90
14-December-2020,625.35,638.70,620.30,626.70,631.503281422371290247,853898,13091,539239389.00,268497,31.44,18.40,1.35
11-December-2020,615.10,625.25,614.75,621.75,621.097700389585206339,907632,15083,563728148.00,231457,25.50,10.50,6.65
10-December-2020,607.95,613.75,593.55,610.15,603.120441028867616436,667530,10297,402600988.00,86132,12.90,20.20,2.20
9-December-2020,619.00,620.70,607.05,609.25,612.392734532463438631,523435,9953,320547791.00,121733,23.26,13.65,-9.75
8-December-2020,615.35,620.95,602.55,614.10,612.378166785645136736,676593,12455,414330781.00,147642,21.82,18.40,-1.25
7-December-2020,623.00,628.95,609.75,614.45,619.218046806571950688,594831,10284,368330090.00,90337,15.19,19.20,-8.55
4-December-2020,621.00,632.40,615.00,622.60,624.903372622370768342,913147,17201,570628640.00,215448,23.59,17.40,1.60
3-December-2020,608.00,624.80,607.65,620.90,619.435860790860695097,1096451,22121,679181069.00,330769,30.17,17.15,12.90
2-December-2020,585.55,607.50,584.35,604.25,600.151122881469550901,1118818,17005,671459879.00,232488,20.78,23.15,18.70
1-December-2020,590.50,590.50,577.00,585.55,583.762105544590269641,635845,12930,371182216.00,149976,23.59,13.50,-4.95
27-November-2020,570.00,582.00,563.10,577.85,573.814288627056647311,1221223,18552,700755207.00,185194,15.16,18.90,7.85
26-November-2020,547.80,571.00,541.50,568.90,555.513315404808622800,935195,17256,519513275.00,251532,26.90,29.50,21.10
25-November-2020,548.30,558.75,539.60,541.00,549.482361839691008788,757562,14341,416266957.00,164056,21.66,19.15,-7.30
24-November-2020,546.95,550.40,541.50,548.15,546.803419064437746471,753130,12628,411814059.00,303232,40.26,8.90,1.20
23-November-2020,536.15,546.00,536.15,542.70,541.307623237189476715,673782,13724,364723333.00,181124,26.88,9.85,6.55
20-November-2020,525.55,541.65,521.20,532.55,531.332534554274302047,859228,15586,456535791.00,123670,14.39,20.45,7.00
19-November-2020,512.60,535.65,510.00,523.40,527.881424608000257709,993368,18859,524380515.00,197242,19.86,25.65,10.80
18-November-2020,518.40,523.90,510.20,517.00,517.183777870859985113,952563,22376,492650131.00,253234,26.58,13.70,-1.40
17-November-2020,504.70,530.80,502.00,522.80,522.731948792473486892,2561186,35411,1338813749.00,304348,11.88,28.80,18.10
14-November-2020,491.50,499.10,487.00,492.10,493.872037798292445560,325729,5556,160868445.00,66741,20.49,12.10,0.60
13-November-2020,471.90,488.00,465.40,486.50,477.561938420436975782,1083996,18233,517675231.00,335425,30.94,22.60,14.60
12-November-2020,472.90,479.80,466.50,473.15,472.566320853709239937,1010180,14439,477377046.00,155417,15.38,13.30,0.25
11-November-2020,442.00,477.15,439.55,474.50,460.262875047965182744,1508907,19734,694493874.00,318912,21.14,37.60,32.50
10-November-2020,440.00,453.00,435.65,441.85,444.956761768343757267,971802,13594,432409871.00,215927,22.22,17.35,1.85
9-November-2020,428.00,439.80,427.50,437.60,433.969371631190602321,658801,9277,285899456.00,210528,31.96,12.30,9.60
6-November-2020,425.20,432.70,422.60,426.30,428.031364138855069968,482143,7656,206372326.00,63996,13.27,10.10,1.10
5-November-2020,410.55,427.90,408.80,425.45,420.076251021864801898,1368821,22359,575009194.00,684389,50.00,19.10,14.90
4-November-2020,408.10,415.00,401.55,403.90,405.817550521753340232,642545,7252,260756038.00,235923,36.72,13.45,-4.20
3-November-2020,408.00,412.15,404.70,406.80,408.257753451688111863,340558,5459,139035444.00,47856,14.05,7.45,-1.20
2-November-2020,412.00,412.40,398.85,402.80,405.369716382565179508,358088,5147,145158031.00,57512,16.06,13.55,-9.20
30-October-2020,403.10,413.00,395.25,410.35,405.281565840852699074,500153,6861,202702791.00,34461,6.89,17.75,7.25
29-October-2020,399.10,405.05,395.55,401.25,400.333432582486743997,560878,9338,224538215.00,150664,26.86,9.50,2.15
28-October-2020,411.05,418.00,400.50,402.30,407.897728716114583681,598340,10077,244061527.00,115710,19.34,17.50,-8.75
27-October-2020,407.20,416.70,403.50,411.00,411.608946335754363016,406714,6512,167407121.00,46710,11.48,13.20,3.80
